item_id,card_name,title,price_usd,sold_date,scraped_at,url
206375890821,SFD Soraka,2026 RIFTBOUND SPIRITFORGED #239*/221 SORAKA SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,1122.25,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/206375890821
206375879672,OGN Jinx,2025 RIFTBOUND ORIGINS #3001*/298 JINX SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,1967.81,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/206375879672
206375890674,OGN Sett,2025 RIFTBOUND ORIGINS #310*/298 SETT SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,1432.81,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/206375890674
158049879082,SFD Sett,2026 Riftbound Spiritforged #232 Sett Brawler Signature Overnumber PSA 10 GEM MT Opens in a new window or tab,750.0,2026-07-03,2026-07-11 03:04:13,https://www.ebay.com/itm/158049879082
298443122905,UNL Vi,2026 RIFTBOUND UNL-UNLEASHED SIGNATURE OVERNUMBER VI - PILTOVER ENFORCER PSA 10 Opens in a new window or tab,1515.0,2026-07-03,2026-07-11 03:04:13,https://www.ebay.com/itm/298443122905
307023840727,OGN Volibear,2025 RIFTBOUND ORIGINS SIGNATURE OVERNUMBER VOLIBEAR - RELENTLESS STORM PSA 10 Opens in a new window or tab,1500.0,2026-07-03,2026-07-11 03:04:13,https://www.ebay.com/itm/307023840727
298452235242,Miss Fortune,2025 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER #309 MISS FORTUNE PSA 10 Opens in a new window or tab,2247.0,2026-07-03,2026-07-11 03:04:13,https://www.ebay.com/itm/298452235242
127792420350,SFD Bard,2026 RIFTBOUND SPIRITFORGED SIGNATURE OVERNUMBER #228* BARD - MERCURIAL PSA 10 Opens in a new window or tab,999.99,2026-06-13,2026-07-11 03:04:13,https://www.ebay.com/itm/127792420350
298105049604,Miss Fortune,2025 RIFTBOUND SIGNATURE OVERNUMBER #309* MISS FORTUNE - BOUNTY HUNTER PSA 10 Opens in a new window or tab,2400.0,2026-07-03,2026-07-11 03:04:13,https://www.ebay.com/itm/298105049604
307022773853,SFD Sett,2026 RIFTBOUND SFD-SPIRITFORGED SIGNATURE OVERNUMBER #232* SETT - BRAWLER PSA 10 Opens in a new window or tab,810.0,2026-07-02,2026-07-11 03:04:13,https://www.ebay.com/itm/307022773853
298449173090,SFD Sett,2026 RIFTBOUND SFD-SPIRITFORGED SIGNATURE OVERNUMBER #232* SETT - BRAWLER PSA 10 Opens in a new window or tab,610.0,2026-07-02,2026-07-11 03:04:13,https://www.ebay.com/itm/298449173090
306761756701,Miss Fortune,2025 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER #309* MISS FORTUNE PSA 10 Opens in a new window or tab,3499.0,2026-07-02,2026-07-11 03:04:13,https://www.ebay.com/itm/306761756701
117264741134,Vayne,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER #223* VAYNE PSA 10 Opens in a new window or tab,2125.0,2026-07-01,2026-07-11 03:04:13,https://www.ebay.com/itm/117264741134
298445787480,Irelia,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER #225* IRELIA PSA 10 Opens in a new window or tab,2250.0,2026-07-01,2026-07-11 03:04:13,https://www.ebay.com/itm/298445787480
358684851967,SFD Ahri,2026 Riftbound Spiritforged SIGNATURE Overnumber 227* AHRI Inquisitive PSA 10 Opens in a new window or tab,6850.0,2026-07-01,2026-07-11 03:04:13,https://www.ebay.com/itm/358684851967
800254716251,Darius,2026 Riftbound Darius Foil Signature Overnumber #236 PSA 10 League of Legends Opens in a new window or tab,760.0,2026-06-30,2026-07-11 03:04:13,https://www.ebay.com/itm/800254716251
127535116916,Miss Fortune,PSA 10 GEM MINT Riftbound Miss Fortune Bounty Hunter Signature 309* Overnumber Opens in a new window or tab,1499.99,2025-12-04,2026-07-11 03:04:13,https://www.ebay.com/itm/127535116916
407025134786,SFD Ahri,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER AHRI Spiritforged PSA 10 Opens in a new window or tab,6800.0,2026-06-30,2026-07-11 03:04:13,https://www.ebay.com/itm/407025134786
257273942247,OGN Volibear,2025 RIFTBOUND OGN EN SIGNATURE OVERNUMBER VOLIBEAR - PSA 10 Opens in a new window or tab,1200.0,2026-06-30,2026-07-11 03:04:13,https://www.ebay.com/itm/257273942247
127533616226,OGN Ahri,PSA 10 GEM MINT Riftbound Ahri Nine-tailed Fox Signature OGN 303* Overnumber Opens in a new window or tab,3099.99,2025-12-30,2026-07-11 03:04:13,https://www.ebay.com/itm/127533616226
127533613584,OGN Yasuo,PSA 10 GEM MINT Riftbound Yasuo Unforgiven Signature OGN 305* Overnumber Alt Art Opens in a new window or tab,1399.99,2025-12-21,2026-07-11 03:04:13,https://www.ebay.com/itm/127533613584
366497704512,SFD Irelia,2026 Riftbound SFD EN Signature Overnumber #225 Irelia PSA 10 GEM MINT Opens in a new window or tab,2225.0,2026-06-29,2026-07-11 03:04:13,https://www.ebay.com/itm/366497704512
366497705801,SFD Vayne,Vayne - Hunter SFD 223*/221 Signature Overnumbered Riftbound Spiritforged PSA 10 Opens in a new window or tab,2199.0,2026-06-29,2026-07-11 03:04:13,https://www.ebay.com/itm/366497705801
188520921673,SFD Ahri,Ahri Signature Overnumber Foil #227 2026 Riftbound SFD EN PSA 10 Opens in a new window or tab,6500.0,2026-06-29,2026-07-11 03:04:13,https://www.ebay.com/itm/188520921673
147404104631,OGN Ahri,2025 RIFTBOUND ORIGINS SIGNATURE OVERNUMBER #303* AHRI -NINE-TAILED FOX PSA 10 Opens in a new window or tab,4300.0,2026-06-28,2026-07-11 03:04:13,https://www.ebay.com/itm/147404104631
287402253323,Vayne,Riftbound Vayne - Hunter 223* Signature Overnumber PSA 10 Opens in a new window or tab,2113.0,2026-06-28,2026-07-11 03:04:13,https://www.ebay.com/itm/287402253323
287402253335,Soraka,Riftbound Soraka - Wanderer 239* Signature Overnumber PSA 10 Opens in a new window or tab,1050.0,2026-06-28,2026-07-11 03:04:13,https://www.ebay.com/itm/287402253335
147390230219,SFD Soraka,RIFTBOUND LEAGUE OF LEGENDS SFD SIGNATURE OVERNUMBER SORAKA PSA 10 Opens in a new window or tab,1031.0,2026-06-28,2026-07-11 03:04:13,https://www.ebay.com/itm/147390230219
