snapshot_date,card_name,listings,low_ask,bin_count,auction_count,total_bids,max_bids,status
2026-08-15,OGN-305 Yasuo Unforgiven,5,128.5,4,1,17,17,ok
2026-08-15,OGN-306 Leona Radiant Dawn,6,117.5,4,2,14,7,ok
2026-08-15,OGN-307 Teemo Swift Scout,11,0.99,7,4,34,26,ok
2026-08-15,OGN-308 Viktor Herald of the Arcane,1,200.0,0,1,0,0,ok
2026-08-15,OGN-309 Miss Fortune Bounty Hunter,4,6969.0,4,0,0,0,ok
2026-08-15,OGN-310 Sett The Boss,8,90.0,7,1,20,20,ok
2026-08-15,SFD-223 Vayne Hunter,9,4.25,4,5,88,42,ok
2026-08-15,SFD-224 Aphelios Exalted,6,0.99,3,3,6,3,ok
2026-08-15,SFD-225 Irelia Fervent,5,0.99,0,5,52,30,ok
2026-08-15,SFD-227 Ahri Inquisitive,19,1175.0,14,5,132,39,ok
2026-08-15,SFD-228 Bard Mercurial,2,799.99,0,2,11,11,ok
2026-08-15,SFD-230 Teemo Strategist,12,0.99,8,4,29,14,ok
2026-08-15,SFD-232 Sett Brawler,5,570.0,1,4,33,18,ok
2026-08-15,SFD-233 Yone Blademaster,6,0.99,2,4,14,5,ok
2026-08-15,SFD-235 Yasuo Windrider,3,102.5,1,2,52,28,ok
2026-08-15,SFD-236 Darius Executioner,2,1150.0,1,1,13,13,ok
2026-08-15,SFD-237 Karma Channeler,2,24.9,1,1,4,4,ok
2026-08-15,SFD-239 Soraka Wanderer,9,0.99,7,2,5,4,ok
2026-08-15,UNL-227 Rengar Pridestalker,2,202.5,0,2,25,17,ok
2026-08-15,UNL-228 Pyke Bloodharbor Ripper,1,660.0,0,1,9,9,ok
2026-08-15,UNL-229 Vi Piltover Enforcer,4,26.0,1,3,26,13,ok
2026-08-15,UNL-230 Lillia Bashful Bloom,5,202.5,2,3,19,11,ok
2026-08-15,UNL-231 Master Yi Wuju Master,1,2700.0,1,0,0,0,ok
2026-08-15,UNL-232 Vex Gloomist,3,102.5,1,2,22,18,ok
2026-08-15,UNL-233 Ivern Green Father,1,910.0,0,1,9,9,ok
2026-08-15,UNL-234 Diana Scorn of the Moon,3,255.0,1,2,50,40,ok
2026-08-15,UNL-235 Leblanc Deceiver,2,0.99,1,1,1,1,ok
2026-08-15,UNL-236 Kha'Zix Voidreaver,1,187.5,0,1,5,5,ok
2026-08-15,UNL-237 Poppy Keeper of the Hammer,4,0.99,2,2,5,5,ok
2026-08-15,[no-match],2,1025.0,1,1,14,14,ok
2026-08-15,[no-match] UNL,1,0.99,0,1,1,1,ok
2026-08-15,[set-ambiguous] Darius,1,610.0,0,1,7,7,ok
2026-08-15,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-15,[set-ambiguous] Teemo,2,94.0,0,2,25,20,ok
2026-08-16,OGN-299 Kai'Sa Daughter of the Void,7,5950.0,5,2,22,13,ok
2026-08-16,OGN-300 Volibear Relentless Storm,2,26.0,0,2,9,5,ok
2026-08-16,OGN-301 Jinx Loose Cannon,14,102.5,9,5,75,27,ok
2026-08-16,OGN-302 Darius Hand of Noxus,5,0.99,4,1,1,1,ok
2026-08-16,OGN-303 Ahri Nine-Tailed Fox,7,6100.0,6,1,6,6,ok
2026-08-16,OGN-304 Lee Sin Blind Monk,5,4.25,2,3,12,5,ok
2026-08-16,OGN-305 Yasuo Unforgiven,6,710.0,5,1,18,18,ok
2026-08-16,OGN-306 Leona Radiant Dawn,6,510.0,4,2,24,13,ok
2026-08-16,OGN-307 Teemo Swift Scout,10,3.25,6,4,37,27,ok
2026-08-16,OGN-308 Viktor Herald of the Arcane,1,200.0,0,1,0,0,ok
2026-08-16,OGN-309 Miss Fortune Bounty Hunter,3,6969.0,3,0,0,0,ok
2026-08-16,OGN-310 Sett The Boss,8,90.0,7,1,24,24,ok
2026-08-16,SFD-223 Vayne Hunter,9,830.0,4,5,96,44,ok
2026-08-16,SFD-224 Aphelios Exalted,6,1000.0,3,3,13,8,ok
2026-08-16,SFD-225 Irelia Fervent,5,127.5,1,4,34,11,ok
2026-08-16,SFD-227 Ahri Inquisitive,19,0.71,15,4,89,38,ok
2026-08-16,SFD-228 Bard Mercurial,2,799.99,0,2,11,11,ok
2026-08-16,SFD-230 Teemo Strategist,12,41.0,8,4,41,16,ok
2026-08-16,SFD-232 Sett Brawler,4,570.0,1,3,15,8,ok
2026-08-16,SFD-233 Yone Blademaster,5,24.9,1,4,26,8,ok
2026-08-16,SFD-235 Yasuo Windrider,3,300.0,1,2,56,28,ok
2026-08-16,SFD-236 Darius Executioner,2,1225.0,1,1,15,15,ok
2026-08-16,SFD-237 Karma Channeler,2,56.0,1,1,6,6,ok
2026-08-16,SFD-239 Soraka Wanderer,9,32.4,7,2,7,5,ok
2026-08-16,UNL-227 Rengar Pridestalker,2,285.0,0,2,26,17,ok
2026-08-16,UNL-228 Pyke Bloodharbor Ripper,1,660.0,0,1,9,9,ok
2026-08-16,UNL-229 Vi Piltover Enforcer,4,107.5,1,3,38,17,ok
2026-08-16,UNL-230 Lillia Bashful Bloom,5,256.2,2,3,21,12,ok
2026-08-16,UNL-232 Vex Gloomist,3,102.5,1,2,24,20,ok
2026-08-16,UNL-233 Ivern Green Father,1,970.0,0,1,10,10,ok
2026-08-16,UNL-234 Diana Scorn of the Moon,2,510.0,1,1,11,11,ok
2026-08-16,UNL-235 Leblanc Deceiver,3,860.0,1,2,11,6,ok
2026-08-16,UNL-236 Kha'Zix Voidreaver,1,305.0,0,1,8,8,ok
2026-08-16,UNL-237 Poppy Keeper of the Hammer,4,0.99,2,2,5,5,ok
2026-08-16,[no-match],2,1575.0,1,1,28,28,ok
2026-08-16,[no-match] UNL,1,0.99,0,1,1,1,ok
2026-08-16,[set-ambiguous] Darius,1,610.0,0,1,7,7,ok
2026-08-16,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-16,[set-ambiguous] Teemo,2,2025.0,0,2,30,23,ok
2026-08-17,OGN-299 Kai'Sa Daughter of the Void,7,5950.0,5,2,22,13,ok
2026-08-17,OGN-300 Volibear Relentless Storm,2,90.0,0,2,12,7,ok
2026-08-17,OGN-301 Jinx Loose Cannon,14,102.5,9,5,93,41,ok
2026-08-17,OGN-302 Darius Hand of Noxus,6,3.25,4,2,11,8,ok
2026-08-17,OGN-303 Ahri Nine-Tailed Fox,7,6300.0,6,1,9,9,ok
2026-08-17,OGN-304 Lee Sin Blind Monk,5,560.0,2,3,15,7,ok
2026-08-17,OGN-305 Yasuo Unforgiven,7,1713.0,6,1,24,24,ok
2026-08-17,OGN-306 Leona Radiant Dawn,6,1025.0,5,1,26,26,ok
2026-08-17,OGN-307 Teemo Swift Scout,11,46.0,7,4,50,32,ok
2026-08-17,OGN-308 Viktor Herald of the Arcane,2,200.0,1,1,0,0,ok
2026-08-17,OGN-309 Miss Fortune Bounty Hunter,5,3699.69,5,0,0,0,ok
2026-08-17,OGN-310 Sett The Boss,8,90.0,7,1,2,2,ok
2026-08-17,SFD-223 Vayne Hunter,7,1195.0,4,3,38,16,ok
2026-08-17,SFD-224 Aphelios Exalted,6,1025.0,3,3,19,11,ok
2026-08-17,SFD-225 Irelia Fervent,2,830.0,1,1,18,18,ok
2026-08-17,SFD-227 Ahri Inquisitive,16,1975.0,13,3,93,44,ok
2026-08-17,SFD-228 Bard Mercurial,2,799.99,0,2,11,11,ok
2026-08-17,SFD-230 Teemo Strategist,10,700.0,7,3,37,17,ok
2026-08-17,SFD-232 Sett Brawler,3,720.0,1,2,8,8,ok
2026-08-17,SFD-233 Yone Blademaster,7,8.5,1,6,40,10,ok
2026-08-17,SFD-235 Yasuo Windrider,3,670.0,1,2,64,35,ok
2026-08-17,SFD-236 Darius Executioner,2,1225.0,1,1,15,15,ok
2026-08-17,SFD-237 Karma Channeler,2,202.5,1,1,9,9,ok
2026-08-17,SFD-239 Soraka Wanderer,10,710.0,7,3,22,15,ok
2026-08-17,UNL-227 Rengar Pridestalker,2,530.0,0,2,35,18,ok
2026-08-17,UNL-228 Pyke Bloodharbor Ripper,1,660.0,0,1,9,9,ok
2026-08-17,UNL-229 Vi Piltover Enforcer,4,218.5,1,3,42,18,ok
2026-08-17,UNL-230 Lillia Bashful Bloom,6,0.99,2,4,23,12,ok
2026-08-17,UNL-232 Vex Gloomist,3,102.5,1,2,31,27,ok
2026-08-17,UNL-233 Ivern Green Father,1,970.0,0,1,10,10,ok
2026-08-17,UNL-234 Diana Scorn of the Moon,2,500.0,1,1,18,18,ok
2026-08-17,UNL-235 Leblanc Deceiver,3,920.0,1,2,18,10,ok
2026-08-17,UNL-236 Kha'Zix Voidreaver,2,305.0,1,1,8,8,ok
2026-08-17,UNL-237 Poppy Keeper of the Hammer,4,0.99,2,2,5,5,ok
2026-08-17,[no-match],2,1725.0,1,1,32,32,ok
2026-08-17,[no-match] UNL,1,0.99,0,1,1,1,ok
2026-08-17,[set-ambiguous] Darius,1,610.0,0,1,7,7,ok
2026-08-17,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-17,[set-ambiguous] Teemo,1,2025.0,0,1,23,23,ok
2026-08-18,OGN-299 Kai'Sa Daughter of the Void,7,5950.0,6,1,9,9,ok
2026-08-18,OGN-300 Volibear Relentless Storm,4,127.5,2,2,19,13,ok
2026-08-18,OGN-301 Jinx Loose Cannon,14,1625.0,10,4,79,44,ok
2026-08-18,OGN-302 Darius Hand of Noxus,7,4.25,5,2,12,8,ok
2026-08-18,OGN-303 Ahri Nine-Tailed Fox,7,6500.0,6,1,10,10,ok
2026-08-18,OGN-304 Lee Sin Blind Monk,6,560.0,3,3,27,17,ok
2026-08-18,OGN-305 Yasuo Unforgiven,6,1713.0,5,1,24,24,ok
2026-08-18,OGN-306 Leona Radiant Dawn,6,1075.0,5,1,27,27,ok
2026-08-18,OGN-307 Teemo Swift Scout,11,0.99,7,4,23,12,ok
2026-08-18,OGN-308 Viktor Herald of the Arcane,2,200.0,1,1,0,0,ok
2026-08-18,OGN-309 Miss Fortune Bounty Hunter,4,3699.69,4,0,0,0,ok
2026-08-18,OGN-310 Sett The Boss,8,90.0,7,1,7,7,ok
2026-08-18,SFD-223 Vayne Hunter,7,2025.0,4,3,51,23,ok
2026-08-18,SFD-224 Aphelios Exalted,5,1300.0,2,3,22,11,ok
2026-08-18,SFD-225 Irelia Fervent,3,2999.0,2,1,22,22,ok
2026-08-18,SFD-227 Ahri Inquisitive,16,2919.13,13,3,137,74,ok
2026-08-18,SFD-228 Bard Mercurial,2,799.99,0,2,11,11,ok
2026-08-18,SFD-230 Teemo Strategist,12,1525.0,7,5,70,26,ok
2026-08-18,SFD-232 Sett Brawler,3,720.0,1,2,8,8,ok
2026-08-18,SFD-233 Yone Blademaster,7,202.5,1,6,58,14,ok
2026-08-18,SFD-235 Yasuo Windrider,3,670.0,1,2,67,35,ok
2026-08-18,SFD-236 Darius Executioner,2,1225.0,1,1,15,15,ok
2026-08-18,SFD-237 Karma Channeler,2,730.0,1,1,16,16,ok
2026-08-18,SFD-239 Soraka Wanderer,10,710.0,7,3,30,18,ok
2026-08-18,UNL-227 Rengar Pridestalker,2,530.0,0,2,35,18,ok
2026-08-18,UNL-228 Pyke Bloodharbor Ripper,1,1000.0,0,1,10,10,ok
2026-08-18,UNL-229 Vi Piltover Enforcer,4,510.0,1,3,54,22,ok
2026-08-18,UNL-230 Lillia Bashful Bloom,5,405.0,1,4,33,12,ok
2026-08-18,UNL-232 Vex Gloomist,2,355.0,1,1,10,10,ok
2026-08-18,UNL-233 Ivern Green Father,1,970.0,0,1,10,10,ok
2026-08-18,UNL-234 Diana Scorn of the Moon,1,8000.0,1,0,0,0,ok
2026-08-18,UNL-235 Leblanc Deceiver,3,1225.0,1,2,20,10,ok
2026-08-18,UNL-236 Kha'Zix Voidreaver,2,455.0,1,1,11,11,ok
2026-08-18,UNL-237 Poppy Keeper of the Hammer,5,0.99,2,3,11,10,ok
2026-08-18,[no-match],2,1900.0,1,1,35,35,ok
2026-08-18,[no-match] UNL,1,0.99,0,1,1,1,ok
2026-08-18,[set-ambiguous] Darius,1,940.0,0,1,15,15,ok
2026-08-18,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-18,[set-ambiguous] Teemo,1,2100.0,0,1,24,24,ok
2026-08-22,,0,,0,0,0,0,fetch_failed
2026-08-23,OGN-299 Kai'Sa Daughter of the Void,6,4.25,4,2,21,17,ok
2026-08-23,OGN-300 Volibear Relentless Storm,3,710.0,2,1,8,8,ok
2026-08-23,OGN-301 Jinx Loose Cannon,15,41.0,10,5,51,20,ok
2026-08-23,OGN-302 Darius Hand of Noxus,7,305.0,5,2,28,16,ok
2026-08-23,OGN-303 Ahri Nine-Tailed Fox,6,6600.0,5,1,42,42,ok
2026-08-23,OGN-304 Lee Sin Blind Monk,3,5599.99,3,0,0,0,ok
2026-08-23,OGN-305 Yasuo Unforgiven,4,1125.0,3,1,5,5,ok
2026-08-23,OGN-306 Leona Radiant Dawn,6,1779.79,6,0,0,0,ok
2026-08-23,OGN-307 Teemo Swift Scout,11,610.0,9,2,46,29,ok
2026-08-23,OGN-308 Viktor Herald of the Arcane,3,0.99,1,2,5,5,ok
2026-08-23,OGN-309 Miss Fortune Bounty Hunter,5,2850.0,4,1,16,16,ok
2026-08-23,OGN-310 Sett The Boss,8,41.0,6,2,10,7,ok
2026-08-23,SFD-223 Vayne Hunter,5,1899.89,5,0,0,0,ok
2026-08-23,SFD-224 Aphelios Exalted,4,22.5,3,1,7,7,ok
2026-08-23,SFD-225 Irelia Fervent,7,0.99,2,5,50,25,ok
2026-08-23,SFD-227 Ahri Inquisitive,14,74.49,12,2,14,10,ok
2026-08-23,SFD-228 Bard Mercurial,2,799.79,1,1,0,0,ok
2026-08-23,SFD-230 Teemo Strategist,10,710.0,8,2,32,23,ok
2026-08-23,SFD-232 Sett Brawler,2,1399.39,1,1,0,0,ok
2026-08-23,SFD-233 Yone Blademaster,4,1050.0,3,1,17,17,ok
2026-08-23,SFD-235 Yasuo Windrider,2,107.5,1,1,12,12,ok
2026-08-23,SFD-236 Darius Executioner,2,1339.39,2,0,0,0,ok
2026-08-23,SFD-237 Karma Channeler,3,1199.19,3,0,0,0,ok
2026-08-23,SFD-239 Soraka Wanderer,10,510.0,8,2,11,9,ok
2026-08-23,UNL-226 Jhin Virtuoso,1,1525.0,0,1,22,22,ok
2026-08-23,UNL-228 Pyke Bloodharbor Ripper,1,810.0,0,1,20,20,ok
2026-08-23,UNL-229 Vi Piltover Enforcer,1,2499.99,1,0,0,0,ok
2026-08-23,UNL-230 Lillia Bashful Bloom,2,950.0,1,1,15,15,ok
2026-08-23,UNL-231 Master Yi Wuju Master,1,51.0,0,1,5,5,ok
2026-08-23,UNL-234 Diana Scorn of the Moon,1,8000.0,1,0,0,0,ok
2026-08-23,UNL-235 Leblanc Deceiver,2,0.99,1,1,0,0,ok
2026-08-23,UNL-236 Kha'Zix Voidreaver,2,1200.0,1,1,8,8,ok
2026-08-23,UNL-237 Poppy Keeper of the Hammer,3,1350.0,2,1,0,0,ok
2026-08-23,[no-match],5,0.99,1,4,34,21,ok
2026-08-23,[set-ambiguous] Sett,1,3000.0,1,0,0,0,ok
2026-08-24,OGN-299 Kai'Sa Daughter of the Void,6,305.0,3,3,42,17,ok
2026-08-24,OGN-300 Volibear Relentless Storm,4,2.25,2,2,10,8,ok
2026-08-24,OGN-301 Jinx Loose Cannon,16,0.99,10,6,63,24,ok
2026-08-24,OGN-302 Darius Hand of Noxus,6,305.0,5,1,16,16,ok
2026-08-24,OGN-303 Ahri Nine-Tailed Fox,7,0.99,5,2,44,43,ok
2026-08-24,OGN-304 Lee Sin Blind Monk,3,5599.99,3,0,0,0,ok
2026-08-24,OGN-305 Yasuo Unforgiven,4,1175.0,3,1,6,6,ok
2026-08-24,OGN-306 Leona Radiant Dawn,6,1779.79,6,0,0,0,ok
2026-08-24,OGN-307 Teemo Swift Scout,11,1525.0,9,2,72,36,ok
2026-08-24,OGN-308 Viktor Herald of the Arcane,3,1275.0,1,2,18,15,ok
2026-08-24,OGN-309 Miss Fortune Bounty Hunter,5,0.99,3,2,16,16,ok
2026-08-24,OGN-310 Sett The Boss,7,90.0,6,1,9,9,ok
2026-08-24,SFD-223 Vayne Hunter,6,0.99,5,1,1,1,ok
2026-08-24,SFD-224 Aphelios Exalted,5,31.0,4,1,9,9,ok
2026-08-24,SFD-225 Irelia Fervent,7,0.99,2,5,57,25,ok
2026-08-24,SFD-227 Ahri Inquisitive,14,744.91,12,2,29,17,ok
2026-08-24,SFD-228 Bard Mercurial,3,799.79,2,1,0,0,ok
2026-08-24,SFD-230 Teemo Strategist,10,0.99,7,3,33,24,ok
2026-08-24,SFD-232 Sett Brawler,3,1399.39,2,1,0,0,ok
2026-08-24,SFD-233 Yone Blademaster,4,0.99,3,1,0,0,ok
2026-08-24,SFD-235 Yasuo Windrider,3,0.99,1,2,21,20,ok
2026-08-24,SFD-236 Darius Executioner,3,0.99,2,1,1,1,ok
2026-08-24,SFD-237 Karma Channeler,3,1199.19,3,0,0,0,ok
2026-08-24,SFD-239 Soraka Wanderer,10,0.99,8,2,2,2,ok
2026-08-24,UNL-226 Jhin Virtuoso,1,1525.0,0,1,22,22,ok
